               DATE                 PNB                  M1                  M2




            1955:01                24388           4411.670           10205.000
            1955:02                27188           4550.330           10644.330
            1955:03                33224           4782.000           11047.330
            1955:04                29312           4823.330           11008.330
            1956:01                27672           4583.000           10752.000
            1956:02                30360           4651.670           10976.670
            1956:03                37356           4760.670           11166.010
            1956:04                32844           4755.670           11205.670
            1957:01                30336           4499.000           10996.660
            1957:02                32588           4544.000           11148.340
            1957:03                37696           4620.000           11312.000
            1957:04                33432           4747.000           11400.330
            1958:01                30732           4654.000           11401.670
            1958:02                33848           4878.000           11887.000
            1958:03                38968           5226.670           12559.670
            1958:04                35560           5435.330           12911.660
            1959:01                33032           5142.000           12692.330
            1959:02                35688           5099.000           12832.000
            1959:03                41192           5212.330           12995.990
            1959:04                37472           5234.670           12799.670
            1960:01                35320           5031.000           12531.330
            1960:02                36780           5148.670           12761.670
            1960:03                42800           5291.000           13022.000
            1960:04                38536           5485.000           13281.330
            1961:01                35476           5334.670           13314.000
            1961:02                38728           5342.670           13642.000
            1961:03                43256           5580.330           14106.000
            1961:04                41124           5787.670           14380.340
            1962:01                38692           5523.670           14176.010
            1962:02                40992           5589.330           14580.990
            1962:03                48148           5665.330           14661.670
            1962:04                43876           5994.670           14928.340
            1963:01                40876           5777.670           14927.670
            1963:02                43904           5995.670           15459.670
            1963:03                51324           6087.000           15702.660
            1963:04                47808           6253.000           15916.000
            1964:01                45320           6122.670           15863.330
            1964:02                48652           6275.000           16318.330
            1964:03                55376           6369.000           16609.660
            1964:04                51772           6573.000           16984.000
            1965:01                49428           6415.670           17204.670
            1965:02                53360           6641.670           18047.000
            1965:03                61028           6865.670           18738.330
            1965:04                57640           7029.330           19104.330
            1966:01                55708           6887.000           19001.670
            1966:02                60408           7056.670           19548.340
            1966:03                68196           7278.330           20052.330
            1966:04                63000           7562.670           20396.340
            1967:01                60320           7540.330           20687.990
            1967:02                65648           7794.000           21571.670
            1967:03                71716           8029.000           22670.000
            1967:04                67952           8237.000           23748.000
            1968:01                64808           7885.670           23386.000
            1968:02                70656           7937.000           24539.670
            1968:03                79284           8464.000           26012.330
            1968:04                75596           8709.670           26592.330
            1969:01                72340           8556.330           27066.330
            1969:02                78240           8801.000           27536.670
            1969:03                85940           8925.330           27655.660
            1969:04                82740           9056.000           27844.670
            1970:01                78716           8702.670           27395.340
            1970:02                84884           8860.330           28556.660
            1970:03                90992           9219.000           29745.000
            1970:04                88148           9414.000           30514.330
            1971:01                83568           9404.330           31015.660
            1971:02                92704           9942.670           32591.010
            1971:03               102300          10533.670           34213.672
            1971:04                99276          11006.330           35220.000
            1972:01                93880          10890.000           36277.340
            1972:02               103900          11284.670           38881.672
            1972:03               112000          11992.330           40319.660
            1972:04               111200          12594.330           41113.660
            1973:01               108300          12545.670           41528.344
            1973:02               119600          13099.330           43414.004
            1973:03               133500          13807.330           45192.332
            1973:04               132900          14104.670           47504.672
            1974:01               129700          13968.330           49543.004
            1974:02               142800          14765.330           52207.332
            1974:03               163200          14848.330           54674.000
            1974:04               154400          14937.000           56494.332
            1975:01               145400          15347.330           58626.672
            1975:02               158000          16043.000           60963.004
            1975:03               183900          17111.670           64265.332
