
Date    RET1      RET2      RET3      RET4      RET5      RET6      RET7      RET8      RET9      RET10      RET11    RET12     RET13      RET14     RET15    RET16      RET17    RET18     RET19      RET20    RET21      RET22     RET23     RET24     RET25     market    SMB      HML       TERM      DEF         MOM
196001 -0.059000 -0.060300 -0.011600 -0.022600 -0.009900 -0.049100 -0.063400 -0.028000 -0.040900 -0.046500 -0.062800 -0.043100 -0.056700 -0.044300 -0.051200 -0.061100 -0.046200 -0.062000 -0.072100 -0.029700 -0.094600 -0.070600 -0.025500 -0.059500 -0.078600 -0.070600  0.021900  0.028000  0.007900  0.007400 -0.032800
196002 -0.038000  0.040500 -0.011700 -0.012400  0.008200  0.012000  0.019300  0.017900  0.025300  0.001700  0.015800  0.000600  0.003500  0.010800 -0.015600  0.017500  0.012000  0.014000  0.006900  0.009700  0.014600 -0.018100  0.050300 -0.030100 -0.042200  0.009600  0.007300 -0.020200  0.017500  0.009900  0.035900
196003 -0.031200 -0.055000 -0.040100 -0.021800 -0.029400 -0.042200 -0.030000 -0.038100 -0.026000 -0.046200 -0.026200 -0.010800 -0.029500 -0.039100 -0.065500 -0.006000 -0.004500 -0.044600 -0.034900 -0.067300 -0.003000 -0.021200 -0.012200 -0.036400 -0.074900 -0.015600 -0.006100 -0.026400  0.024700  0.015600  0.018500
196004 -0.066300  0.013000 -0.025800 -0.030700 -0.023700 -0.006800 -0.047100 -0.013700 -0.022300 -0.030200  0.012100 -0.019300 -0.026500 -0.026100 -0.053100 -0.005400 -0.004800 -0.026100 -0.024500 -0.025300 -0.011400 -0.030900 -0.015800 -0.022600 -0.038900 -0.017400  0.001700 -0.017800 -0.018900 -0.004100  0.026000
196005 -0.039400 -0.017500 -0.018700  0.021500  0.013000  0.028700  0.058100  0.012000  0.024500  0.058100  0.060000  0.016000  0.036200  0.026200 -0.005600  0.035000  0.018200 -0.003500  0.031100  0.002200  0.048700  0.015100  0.013900 -0.027900 -0.011800  0.030600  0.013500 -0.039800  0.012500 -0.004800  0.047700
196006  0.018400 -0.033600  0.054300  0.031500  0.016700  0.037600  0.022000  0.013300  0.016700 -0.000800  0.047200  0.009700  0.019200  0.031800  0.010100  0.021800  0.021900  0.029000  0.009800  0.026500  0.021300  0.026100  0.009700  0.032600  0.024700  0.020700 -0.003300 -0.000300  0.014900  0.011700  0.010300
196007 -0.018000 -0.038400  0.007000 -0.011600 -0.016700 -0.028200 -0.021000 -0.019700 -0.027900 -0.018400 -0.032700 -0.010700 -0.016800 -0.013400 -0.020500 -0.032800 -0.008100 -0.005100  0.007600 -0.048000 -0.036500 -0.020700  0.003400 -0.010500 -0.006900 -0.022100 -0.001700  0.014500  0.035500  0.024400 -0.008000
196008  0.039800  0.087000  0.018700  0.044800  0.042200 -0.005800  0.017100  0.041800  0.046100  0.037600  0.048200  0.044700  0.030900  0.038200  0.010100  0.011200  0.031300  0.039000  0.034000  0.006200  0.019500  0.028800  0.049700  0.039600  0.028300  0.028300  0.004400  0.006600 -0.008400  0.010000  0.020400
196009 -0.052200 -0.074600 -0.033500 -0.047200 -0.074600 -0.077500 -0.058800 -0.067900 -0.057900 -0.081800 -0.078300 -0.055000 -0.043900 -0.062300 -0.059500 -0.061000 -0.046800 -0.051000 -0.058400 -0.083000 -0.073000 -0.046300 -0.048300 -0.051800 -0.039100 -0.059700 -0.007700  0.009100  0.005900 -0.007900  0.003000
196010 -0.094600 -0.036400 -0.029000 -0.015300 -0.028500 -0.075200 -0.029700 -0.027300 -0.038400 -0.016100 -0.039600 -0.019400 -0.031800 -0.029100 -0.036400 -0.022300 -0.022100 -0.013300  0.003400 -0.029200 -0.011700  0.002500  0.005300 -0.000400  0.020000 -0.006800 -0.035400  0.021900 -0.005000 -0.001400  0.012700
196011 -0.023700 -0.001800 -0.012300  0.023500  0.021000  0.069400  0.078000  0.051600  0.041900  0.016500  0.078700  0.053800  0.058800  0.059500  0.042000  0.085300  0.043900  0.046500  0.047000  0.034700  0.050800  0.039500  0.038300  0.038900  0.044200  0.046600  0.004100 -0.024900 -0.007900 -0.008300  0.036500
