               DATE           LRESERVES              LFUNDS             LGDPDEF                LGDP




            1965:01               9.3633              1.3610              3.2101              7.9458
            1965:02               9.3483              1.3813              3.2120              7.9579
            1965:03               9.3477              1.3962              3.2104              7.9747
            1965:04               9.3563              1.4085              3.2144              7.9751
            1965:05               9.3429              1.4110              3.2144              7.9761
            1965:06               9.3472              1.3962              3.2158              7.9717
            1965:07               9.3539              1.4085              3.2220              7.9837
            1965:08               9.3528              1.4159              3.2229              7.9892
            1965:09               9.3516              1.3888              3.2236              7.9994
            1965:10               9.3613              1.4061              3.2271              8.0133
            1965:11               9.3635              1.4110              3.2266              8.0147
            1965:12               9.3819              1.4633              3.2269              8.0201
            1966:01               9.3822              1.4861              3.2310              8.0277
            1966:02               9.3683              1.5261              3.2365              8.0352
            1966:03               9.3591              1.5369              3.2367              8.0484
            1966:04               9.3606              1.5412              3.2400              8.0457
            1966:05               9.3566              1.5892              3.2435              8.0373
            1966:06               9.3544              1.6429              3.2443              8.0387
            1966:07               9.3613              1.6677              3.2504              8.0436
            1966:08               9.3440              1.7102              3.2544              8.0474
            1966:09               9.3466              1.6864              3.2579              8.0540
            1966:10               9.3471              1.7102              3.2599              8.0527
            1966:11               9.3586              1.7527              3.2628              8.0559
            1966:12               9.3665              1.6864              3.2631              8.0564
            1967:01               9.3863              1.5974              3.2654              8.0622
            1967:02               9.3856              1.6094              3.2661              8.0666
            1967:03               9.4122              1.5107              3.2657              8.0679
            1967:04               9.4208              1.3987              3.2705              8.0710
            1967:05               9.4197              1.3712              3.2732              8.0694
            1967:06               9.4215              1.3813              3.2764              8.0654
            1967:07               9.4420              1.3324              3.2815              8.0707
            1967:08               9.4413              1.3584              3.2856              8.0850
            1967:09               9.4539              1.3863              3.2869              8.0727
            1967:10               9.4695              1.3558              3.2934              8.0705
            1967:11               9.4726              1.4159              3.2954              8.0876
            1967:12               9.4690              1.5063              3.2988              8.0916
            1968:01               9.4722              1.5261              3.3065              8.1026
            1968:02               9.4584              1.5518              3.3076              8.0959
            1968:03               9.4356              1.6194              3.3066              8.1028
            1968:04               9.4280              1.7509              3.3131              8.1164
            1968:05               9.4246              1.8116              3.3149              8.1197
            1968:06               9.4380              1.8034              3.3146              8.1130
            1968:07               9.4672              1.7951              3.3210              8.1213
            1968:08               9.4630              1.7967              3.3244              8.1331
            1968:09               9.4674              1.7544              3.3297              8.1176
            1968:10               9.4793              1.7783              3.3363              8.1329
            1968:11               9.4807              1.7596              3.3407              8.1310
            1968:12               9.4743              1.7951              3.3410              8.1240
            1969:01               9.4644              1.8405              3.3444              8.1423
            1969:02               9.4634              1.8931              3.3457              8.1424
            1969:03               9.4534              1.9155              3.3491              8.1477
            1969:04               9.4309              2.0028              3.3560              8.1456
            1969:05               9.4311              2.1599              3.3604              8.1464
            1969:06               9.4263              2.1861              3.3648              8.1379
            1969:07               9.4124              2.1529              3.3715              8.1457
            1969:08               9.4387              2.2181              3.3742              8.1519
            1969:09               9.4527              2.2138              3.3768              8.1473
            1969:10               9.4536              2.1972              3.3824              8.1501
            1969:11               9.4703              2.1804              3.3884              8.1392
            1969:12               9.4765              2.1939              3.3925              8.1386
